Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Sonora,Mazatán,Fuentes móviles carreteros,0.534,72.701,19.072,6.311,1.869,1.716,0.098
Sonora,Mazatán,Fuentes móviles que no circulan por carretera,1.024,14.161,29.19,2.915,2.417,2.344,0.009
Sonora,Mazatán,Fuentes naturales,,,87.126,533.279,,,
Sonora,Moctezuma,Fuentes de área,0.968,118.288,5.034,83.055,24.612,14.025,39.099
Sonora,Moctezuma,Fuentes móviles carreteros,2.46,282.872,85.722,25.214,10.025,9.208,0.406
Sonora,Moctezuma,Fuentes móviles que no circulan por carretera,1.032,14.227,29.397,2.931,2.429,2.356,0.009
Sonora,Moctezuma,Fuentes naturales,,,43.109,277.499,,,
Sonora,Naco,Fuentes de área,0.078,27.45,2.003,85.311,7.721,3.761,18.289
Sonora,Naco,Fuentes móviles carreteros,1.162,202.327,42.554,17.985,2.751,2.52,0.259
Sonora,Naco,Fuentes móviles que no circulan por carretera,1.774,22.443,114.811,6.056,4.516,4.227,0.009
Sonora,Naco,Fuentes naturales,,,59.007,135.469,,,
Sonora,Nácori Chico,Fuentes de área,2.727,348.538,10.842,59.71,50.41,32.878,44.917
Sonora,Nácori Chico,Fuentes móviles carreteros,0.124,25.962,4.519,2.143,0.148,0.135,0.031
Sonora,Nácori Chico,Fuentes móviles que no circulan por carretera,1.001,13.945,28.519,2.864,2.376,2.304,0.009
Sonora,Nácori Chico,Fuentes naturales,,,45.262,946.229,,,
Sonora,Nacozari de García,Fuentes fijas,15.325,1740.208,1845.708,82.528,722.573,691.063,36.551
Sonora,Nacozari de García,Fuentes de área,14.15,1553.042,49.656,407.002,160.855,133.925,52.855
Sonora,Nacozari de García,Fuentes móviles carreteros,9.007,1046.649,313.13,93.296,36.138,33.192,1.51
Sonora,Nacozari de García,Fuentes móviles que no circulan por carretera,1.41,18.483,76.01,4.596,3.531,3.339,0.008
Sonora,Nacozari de García,Fuentes naturales,,,34.068,359.223,,,
Sonora,Navojoa,Fuentes fijas,95.618,32.047,97.121,187.732,79.098,39.639,1.406
Sonora,Navojoa,Fuentes de área,8.49,2056.382,96.829,2635.472,994.518,379.69,4880.912
Sonora,Navojoa,Fuentes móviles carreteros,53.904,6266.096,1993.104,574.319,198.385,182.194,9.238
Sonora,Navojoa,Fuentes móviles que no circulan por carretera,5.133,55.094,291.954,15.335,11.382,10.693,0.03
Sonora,Navojoa,Fuentes naturales,,,276.427,2890.164,,,
Sonora,Nogales,Fuentes fijas,1.244,25.234,35.782,439.432,9.083,6.52,0.909
Sonora,Nogales,Fuentes de área,4.391,603.235,88.842,5067.682,84.476,67.621,290.722
Sonora,Nogales,Fuentes móviles carreteros,106.481,14056.92,3871.3,1269.172,360.62,331.047,20.045
Sonora,Nogales,Fuentes móviles que no circulan por carretera,2.045,43.594,151.677,10.325,5.557,5.17,0.208
Sonora,Nogales,Fuentes naturales,,,27.914,266.015,,,
Sonora,Ónavas,Fuentes de área,0.047,9.538,0.485,25.703,74.023,12.564,8.006
Sonora,Ónavas,Fuentes móviles carreteros,0.046,10.374,1.665,0.922,0.014,0.013,0.013
Sonora,Ónavas,Fuentes móviles que no circulan por carretera,1.43,20.767,93.925,6.653,4.027,3.791,0.009
Sonora,Ónavas,Fuentes naturales,,,96.926,2659.749,,,
Sonora,Opodepe,Fuentes de área,0.788,216.405,7.804,44.503,82.094,61.509,38.966
